Lag1;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\bear.png
Lag2,C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\envy.jpg
Lag3|C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\logo.png
Lag5;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\tigers.jpg
Lag6;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\bear.png
Lag6;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\envy.jpg
Lag7;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\logo.png
Lag8;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\tigers.jpg
Lag9;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\bear.png
Lag10;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\envy.jpg
Lag11;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\logo.png
Lag12;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\tigers.jpg
Lag13;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\bear.png
Lag14;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\envy.jpg
Lag15;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\logo.png
Lag16;C:\Users\khtho\Kodeprosjekter\brackets\Teams\team_logos\tigers.jpg
